"Text","Font","fontSize","lineHeight","letterSpacing","color","isTruncated"
"Backtesting Dashboard","System UI Bold","30px","36px","-0.75px","#0a0a0a","false"
"Advanced strategy testing and optimization","System UI Regular","16px","24px","0px","#737373","false"
"Export","System UI Medium","14px","20px","0px","#0a0a0a","false"
"Quick Stats","System UI Medium","14px","20px","0px","#737373","false"
"Active Strategies","System UI Regular","14px","20px","0px","#0a0a0a","false"
"12","System UI Medium","12px","16px","0px","#171717","false"
"Running Tests","System UI Regular","14px","20px","0px","#0a0a0a","false"
"3","System UI Medium","12px","16px","0px","#0a0a0a","false"
"Completed Today","System UI Regular","14px","20px","0px","#0a0a0a","false"
"8","System UI Medium","12px","16px","0px","#fafafa","false"
"Best Strategy","System UI Regular","14px","20px","0px","#0a0a0a","false"
"+24.5%","System UI Medium","14px","20px","0px","#96a97f","false"
"Strategy Setup","System UI Semi Bold","18px","28px","0px","#0a0a0a","false"
"Strategy","System UI Medium","14px","14px","0px","#0a0a0a","false"
"RSI Mean Reversion","System UI Regular","14px","20px","0px","#0a0a0a","false"
"RSI Mean Reversion","System UI Regular","16px","0px","0px","#0a0a0a","false"
"Moving Average Crossover","System UI Regular","16px","0px","0px","#0a0a0a","false"
"Symbol","System UI Medium","14px","14px","0px","#0a0a0a","false"
"BTCUSD","System UI Regular","14px","20px","0px","#0a0a0a","false"
"BTCUSD","System UI Regular","16px","0px","0px","#0a0a0a","false"
"ETHUSD","System UI Regular","16px","0px","0px","#0a0a0a","false"
"SOLUSD","System UI Regular","16px","0px","0px","#0a0a0a","false"
"ADAUSD","System UI Regular","16px","0px","0px","#0a0a0a","false"
"Timeframe","System UI Medium","14px","14px","0px","#0a0a0a","false"
"1h","System UI Regular","14px","20px","0px","#0a0a0a","false"
"1m","System UI Regular","16px","0px","0px","#0a0a0a","false"
"5m","System UI Regular","16px","0px","0px","#0a0a0a","false"
"15m","System UI Regular","16px","0px","0px","#0a0a0a","false"
"1h","System UI Regular","16px","0px","0px","#0a0a0a","false"
"4h","System UI Regular","16px","0px","0px","#0a0a0a","false"
"1d","System UI Regular","16px","0px","0px","#0a0a0a","false"
"Start Date","System UI Medium","14px","14px","0px","#0a0a0a","false"
"End Date","System UI Medium","14px","14px","0px","#0a0a0a","false"
"Start Backtest","System UI Medium","14px","20px","0px","#fafafa","false"
"Strategy Parameters","System UI Semi Bold","18px","28px","0px","#0a0a0a","false"
"RSI Period","System UI Medium","14px","20px","0px","#0a0a0a","false"
"Period for RSI calculation","System UI Regular","12px","16px","0px","#737373","false"
"Oversold Level","System UI Medium","14px","20px","0px","#0a0a0a","false"
"RSI level considered oversold","System UI Regular","12px","16px","0px","#737373","false"
"Overbought Level","System UI Medium","14px","20px","0px","#0a0a0a","false"
"RSI level considered overbought","System UI Regular","12px","16px","0px","#737373","false"
"Stop Loss %","System UI Medium","14px","20px","0px","#0a0a0a","false"
"Stop loss percentage","System UI Regular","12px","16px","0px","#737373","false"
"Take Profit %","System UI Medium","14px","20px","0px","#0a0a0a","false"
"Take profit percentage","System UI Regular","12px","16px","0px","#737373","false"
"Total Return","System UI Medium","14px","20px","0px","#737373","false"
"+24.5%","System UI Bold","24px","32px","0px","#96a97f","false"
"Sharpe Ratio","System UI Medium","14px","20px","0px","#737373","false"
"1.42","System UI Bold","24px","32px","0px","#0a0a0a","false"
"Excellent","System UI Regular","12px","16px","0px","#737373","false"
"Max Drawdown","System UI Medium","14px","20px","0px","#737373","false"
"-8.3%","System UI Bold","24px","32px","0px","#ac825f","false"
"Low Risk","System UI Regular","12px","16px","0px","#737373","false"
"Win Rate","System UI Medium","14px","20px","0px","#737373","false"
"67.2%","System UI Bold","24px","32px","0px","#0a0a0a","false"
"156 trades","System UI Regular","12px","16px","0px","#737373","false"
"Overview","System UI Medium","14px","20px","0px","#0a0a0a","false"
"Results","System UI Medium","14px","20px","0px","#0a0a0a","false"
"Trades","System UI Medium","14px","20px","0px","#0a0a0a","false"
"Analytics","System UI Medium","14px","20px","0px","#0a0a0a","false"
"Equity Curve","System UI Semi Bold","18px","28px","0px","#0a0a0a","false"
"Interactive equity curve chart would go here","System UI Regular","16px","24px","0px","#737373","false"
"Risk Metrics","System UI Semi Bold","16px","24px","0px","#0a0a0a","false"
"Value at Risk (95%)","System UI Regular","14px","20px","0px","#737373","false"
"-2.1%","System UI Medium","14px","20px","0px","#0a0a0a","false"
"Calmar Ratio","System UI Regular","14px","20px","0px","#737373","false"
"2.95","System UI Medium","14px","20px","0px","#0a0a0a","false"
"Sortino Ratio","System UI Regular","14px","20px","0px","#737373","false"
"1.87","System UI Medium","14px","20px","0px","#0a0a0a","false"
"Beta","System UI Regular","14px","20px","0px","#737373","false"
"0.73","System UI Medium","14px","20px","0px","#0a0a0a","false"
"Trade Statistics","System UI Semi Bold","16px","24px","0px","#0a0a0a","false"
"Profit Factor","System UI Regular","14px","20px","0px","#737373","false"
"1.85","System UI Medium","14px","20px","0px","#0a0a0a","false"
"Average Win","System UI Regular","14px","20px","0px","#737373","false"
"+2.1%","System UI Medium","14px","20px","0px","#96a97f","false"
"Average Loss","System UI Regular","14px","20px","0px","#737373","false"
"-1.3%","System UI Medium","14px","20px","0px","#ac825f","false"
"Largest Win","System UI Regular","14px","20px","0px","#737373","false"
"+8.7%","System UI Medium","14px","20px","0px","#96a97f","false"
