symbol,date,open,close,high,low,volume,max(highs),max(highs)-open,,min(lows),min(lows)-open,
AAPL,10/05/2022 11:00,153.68,154,154.08,153.68,-131559427,,,,,,
AAPL,10/05/2022 11:05,154.09,154.24,154.28,153.85,12988,,,,,,
AAPL,10/05/2022 11:10,154.19,154.18,154.3,154.17,4329,,,,,,
AAPL,10/05/2022 11:15,154.12,154.25,154.3,154.1,9983,,,,,,
AAPL,10/05/2022 11:20,154.3,154.59,154.62,154.25,19958,,,,,,
AAPL,10/05/2022 11:25,154.61,154.64,154.66,154.5,10091,,,,,,
AAPL,10/05/2022 11:30,154.66,154.7,154.77,154.62,5373,,,,,,
AAPL,10/05/2022 11:35,154.67,154.62,154.87,154.6,5857,,,,,,
AAPL,10/05/2022 11:40,154.71,154.62,154.71,154.47,12309,,,,,,
AAPL,10/05/2022 11:45,154.63,154.61,154.68,154.56,2709,,,,,,
AAPL,10/05/2022 11:50,154.65,154.27,154.65,154.27,9817,,,,,,
AAPL,10/05/2022 11:55,154.28,154.4,154.46,154.09,9921,,,,,,
AAPL,10/05/2022 12:00,154.41,154.32,154.45,154.23,7040,,,,,,
AAPL,10/05/2022 12:05,154.31,154.48,154.48,154.3,2788,,,,,,
AAPL,10/05/2022 12:10,154.45,154.48,154.48,154.4,8340,,,,,,
AAPL,10/05/2022 12:15,154.47,154.34,154.5,154.32,2940,,,,,,
AAPL,10/05/2022 12:20,154.37,154.37,154.41,154.21,2463,,,,,,
AAPL,10/05/2022 12:25,154.34,154.34,154.38,154.3,468,,,,,,
AAPL,10/05/2022 12:30,154.37,154.39,154.41,154.34,532,,,,,,
AAPL,10/05/2022 12:35,154.38,154.5,154.53,154.32,8791,,,,,,
AAPL,10/05/2022 12:40,154.53,154.44,154.69,154.3,5727,,,,,,
AAPL,10/05/2022 12:45,154.45,154.25,154.45,154.15,2957,,,,,,
AAPL,10/05/2022 12:50,154.23,153.84,154.28,153.84,2713,,,,,,
AAPL,10/05/2022 12:55,153.85,153.6,154.02,153.55,14644,,,,,,
AAPL,10/05/2022 13:00,153.73,153.57,153.77,153.57,2735,,,,,,
AAPL,10/05/2022 13:05,153.56,153.72,153.97,153.56,5394,,,,,,
AAPL,10/05/2022 13:10,153.73,153.83,153.85,153.71,668,,,,,,
AAPL,10/05/2022 13:15,153.84,153.6,153.85,153.4,20107,,,,,,
AAPL,10/05/2022 13:20,153.53,153.71,153.71,153.52,15048,,,,,,
AAPL,10/05/2022 13:25,153.66,153.6,153.7,153.56,21186,,,,,,
AAPL,10/05/2022 13:30,153.65,153.72,153.72,153.64,1808,,,,,,
AAPL,10/05/2022 13:35,153.71,153.85,153.95,153.71,5665,,,,,,
AAPL,10/05/2022 13:40,153.83,153.9,153.92,153.83,1256,,,,,,
AAPL,10/05/2022 13:45,153.89,153.72,153.98,153.7,4300,,,,,,
AAPL,10/05/2022 13:50,153.7,153.54,153.81,153.54,5008,,,,,,
AAPL,10/05/2022 13:55,153.63,153.5,153.63,153.45,5638,,,,,,
AAPL,10/05/2022 14:00,153.42,153.35,153.59,153.32,21982,,,,,,
AAPL,10/05/2022 14:05,153.37,153.55,153.56,153.28,14603,,,,,,
AAPL,10/05/2022 14:10,153.57,153.55,153.59,153.45,7639,,,,,,
AAPL,10/05/2022 14:15,153.52,153.22,153.55,153.21,7410,,,,,,
AAPL,10/05/2022 14:20,153.24,153.34,153.4,153.19,5666,,,,,,
AAPL,10/05/2022 14:25,153.32,153.51,153.51,153.22,13115,,,,,,
AAPL,10/05/2022 14:30,153.5,153.68,153.72,153.4,5924,,,,,,
AAPL,10/05/2022 14:35,153.67,153.6,153.71,153.59,12554,,,,,,
AAPL,10/05/2022 14:40,153.65,153.45,153.72,153.45,16446,,,,,,
AAPL,10/05/2022 14:45,153.48,153.7,153.72,153.29,23244,,,,,,
AAPL,10/05/2022 14:50,153.64,153.5,153.7,153.5,8170,,,,,,
AAPL,10/05/2022 14:55,153.45,153.76,153.78,153.4,16562,,,,,,
AAPL,10/05/2022 15:00,153.54,154.11,154.669,153.2,2606270,,,,,,
AAPL,10/05/2022 15:05,154.1,154.49,154.58,154.04,96189,,,,,,
AAPL,10/05/2022 15:10,154.47,154.42,154.58,154.33,40815,,,,,,
AAPL,10/05/2022 15:15,154.36,154.64,154.66,154.25,52590,,,,,,
AAPL,10/05/2022 15:20,154.52,154.47,154.72,154.44,42942,,,,,,
AAPL,10/05/2022 15:25,154.45,154.45,154.51,154.36,15560,,,,,,
AAPL,10/05/2022 15:30,154.41,154.57,154.75,154.35,38958,,,,,,
AAPL,10/05/2022 15:35,154.6,155.049,155.049,154.56,101284,,,,,,
