date,symbol,open,high,low,close,diff close-open,percentage,daily pnl%,daily %,buy&hold
29/11/2019,AAPL,66.65,67,66.475,66.8125,0.1625,0.00243811,1,0.00243811,1.00243811
02/12/2019,AAPL,66.8175,67.0625,65.8625,66.04,-0.7775,-0.011636173,1.00243811,-0.011664543,0.990773567
03/12/2019,AAPL,64.5775,64.8825,64.0725,64.8625,0.285,0.004413302,0.990773567,0.004372583,0.99514615
04/12/2019,AAPL,65.2675,65.8275,65.17,65.435,0.1675,0.002566362,0.99514615,0.002553905,0.997700055
05/12/2019,AAPL,65.9475,66.4725,65.6825,66.395,0.4475,0.006785701,0.997700055,0.006770094,1.004470149
06/12/2019,AAPL,66.87,67.75,66.825,67.6775,0.8075,0.012075669,1.004470149,0.012129649,1.016599798
09/12/2019,AAPL,67.5,67.7,66.2275,66.73,-0.77,-0.011407407,1.016599798,-0.011596768,1.005003031
10/12/2019,AAPL,67.15,67.5175,66.465,67.12,-0.03,-0.000446761,1.005003031,-0.000448996,1.004554034
11/12/2019,AAPL,67.2025,67.775,67.125,67.6925,0.49,0.007291395,1.004554034,0.0073246,1.011878635
12/12/2019,AAPL,66.945,68.14,66.8303,67.865,0.92,0.013742625,1.011878635,0.013905869,1.025784503
13/12/2019,AAPL,67.865,68.825,67.7325,68.7875,0.9225,0.013593163,1.025784503,0.013943656,1.039728159
16/12/2019,AAPL,69.25,70.1975,69.245,69.965,0.715,0.01032491,1.039728159,0.0107351,1.050463259
17/12/2019,AAPL,69.8925,70.4425,69.7,70.1025,0.21,0.003004614,1.050463259,0.003156237,1.053619496
18/12/2019,AAPL,69.95,70.475,69.78,69.935,-0.015,-0.000214439,1.053619496,-0.000225937,1.053393558
19/12/2019,AAPL,69.875,70.295,69.7375,70.005,0.13,0.001860465,1.053393558,0.001959802,1.05535336
20/12/2019,AAPL,70.5575,70.6625,69.64,69.86,-0.6975,-0.009885554,1.05535336,-0.010432753,1.044920608
23/12/2019,AAPL,70.1325,71.0625,70.0934,71,0.8675,0.012369444,1.044920608,0.012925087,1.057845695
24/12/2019,AAPL,71.1725,71.2225,70.7299,71.0675,-0.105,-0.001475289,1.057845695,-0.001560628,1.056285066
26/12/2019,AAPL,71.205,72.495,71.175,72.4775,1.2725,0.017870936,1.056285066,0.018876803,1.075161869
27/12/2019,AAPL,72.78,73.4925,72.03,72.45,-0.33,-0.004534213,1.075161869,-0.004875013,1.070286856
30/12/2019,AAPL,72.365,73.1725,71.305,72.88,0.515,0.0071167,1.070286856,0.00761691,1.077903767
31/12/2019,AAPL,72.4825,73.42,72.38,73.4125,0.93,0.012830683,1.077903767,0.013830242,1.091734008
02/01/2020,AAPL,74.06,75.15,73.7975,75.0875,1.0275,0.013873886,1.091734008,0.015146593,1.106880602
03/01/2020,AAPL,74.2875,75.145,74.125,74.3575,0.07,0.000942285,1.106880602,0.001042997,1.107923599
06/01/2020,AAPL,73.4475,74.99,73.1875,74.95,1.5025,0.020456789,1.107923599,0.022664559,1.130588158
07/01/2020,AAPL,74.96,75.225,74.37,74.5975,-0.3625,-0.004835912,1.130588158,-0.005467425,1.125120733
08/01/2020,AAPL,74.29,76.11,74.289,75.7975,1.5075,0.020292099,1.125120733,0.022831061,1.147951794
09/01/2020,AAPL,76.8088,77.6075,76.55,77.4075,0.5987,0.00779468,1.147951794,0.008947917,1.156899711
10/01/2020,AAPL,77.65,78.1675,77.0625,77.5825,-0.0675,-0.000869285,1.156899711,-0.001005676,1.155894036
13/01/2020,AAPL,77.91,79.2675,77.7875,79.24,1.33,0.017070979,1.155894036,0.019732243,1.175626278
14/01/2020,AAPL,79.175,79.3925,78.0425,78.17,-1.005,-0.012693401,1.175626278,-0.014922696,1.160703583
